,dates,NA1,NA2,NA3,NA4,NA5
0,2022-01-04 00:06:04+00:00,84.65102036650862,59.64378158655889,60.55461563076479,16.057741599899423,28.072858618934973
1,2022-01-29 00:06:08+00:00,94.78379817217548,71.69469040676762,64.06219053907756,41.03384901563935,66.69950010595804
2,2022-02-09 23:56:06+00:00,101.98451980198213,71.31541560627912,60.16731983163845,32.59051854605639,66.77371094062171
3,2022-02-13 00:06:02+00:00,91.94464244791317,54.70516884045469,41.147408951487904,20.255432463689427,55.57669306534888
4,2022-02-14 23:56:12+00:00,98.47388284345487,69.8190524398476,46.60186961308196,37.54914844084848,65.17996584093298
5,2022-02-18 00:06:09+00:00,101.29986315466519,71.4833819600843,51.832574145220384,29.73441198041359,76.97680366595948
6,2022-03-10 00:06:12+00:00,76.91697058328678,46.30502824775368,22.98970544781761,3.898466122711914,46.89978627514693
7,2022-03-11 23:56:10+00:00,77.99744265650449,47.09289567533286,42.329009905016704,17.769604735131352,53.89629397704581
8,2022-03-16 23:56:16+00:00,88.58056766267492,52.952796066323124,50.10696896857499,15.044386580931656,53.011833645039935
9,2022-03-20 00:06:11+00:00,80.56982896077882,55.435729777345124,42.5136970582965,16.998616972696222,55.703962039514664
10,2022-03-21 23:56:10+00:00,91.12786441796123,58.914251066010095,49.25623893146217,18.228175717689616,52.54960993508212
11,2022-04-04 00:06:04+00:00,81.22695949655548,63.084057492248554,36.90406718693576,29.42641669228588,46.758446825133355
12,2022-04-10 23:56:09+00:00,86.95239195836935,46.70275280715028,42.1407861778285,29.548202993274213,42.27964571608401
13,2022-04-19 00:06:12+00:00,86.76677093098762,47.389169926540234,36.26107465937011,20.043322864111687,46.34077479125579
14,2022-04-20 23:56:07+00:00,94.72748147036245,60.891631991306674,55.06584414851031,38.3239547908158,59.45692333606822
15,2022-05-04 00:06:03+00:00,98.83987307436126,60.44217552813269,57.74237500948258,38.21687084864517,55.063698714831425
16,2022-05-05 23:56:17+00:00,122.84719678397045,78.87038577405076,75.3460774659011,65.30024615466856,74.66854610898159
17,2022-05-15 23:56:17+00:00,101.0949874813158,63.38250283270238,65.24676531002056,46.73935888756863,52.90672651987046
18,2022-05-25 23:56:19+00:00,115.69604441905659,71.31497593463064,70.26944849256657,54.35775667271697,61.01104429824262
19,2022-05-29 00:06:15+00:00,99.35671599940699,66.71311647863072,70.72869253942048,55.1843024598212,54.09347202320728
20,2022-05-30 23:56:12+00:00,99.98407541809173,65.78608703021668,69.77917491677754,54.35065146434411,56.07910401186363
21,2022-06-08 00:06:12+00:00,106.05701664147524,84.87394522386603,81.859807573433,67.49196043491389,72.94300897419852
22,2022-06-09 23:56:14+00:00,89.23330344858122,74.57333221284765,64.4251043876857,54.539719742478155,57.59560557288702
23,2022-06-13 00:06:11+00:00,68.23038633618023,58.307009153963435,47.58323684852104,29.751475563827345,27.20944338401875
24,2022-06-14 23:56:23+00:00,76.40963247344119,65.26472173817686,57.36639907915228,45.65798990010889,44.298673281536956
25,2022-06-18 00:06:19+00:00,95.2654935211774,69.23170058945229,56.65589328772291,55.118524834768614,50.35675179905437
26,2022-06-23 00:06:12+00:00,108.7029989106212,79.98646817745474,78.59233281210098,53.940900773009396,48.140127815018104
27,2022-06-24 23:56:24+00:00,114.33087665876003,89.84661254423962,86.90927232260326,66.07125107346438,65.6610034744103
28,2022-07-08 00:06:21+00:00,85.30944240100311,76.06745874889228,63.23764062883941,34.109204675581786,50.886306224689115
29,2022-07-13 00:06:12+00:00,66.9999740605614,56.09690156809506,39.49357876207401,8.366875480232302,21.987389236337204
30,2022-07-14 23:56:24+00:00,75.29832144529456,60.07800024651251,45.814544161793314,12.06901002320691,27.036677016014906
31,2022-07-24 23:56:22+00:00,92.82160719165158,75.12778558361933,70.08190303374839,19.582756044209898,41.838813855754225
32,2022-07-28 00:06:15+00:00,63.3190201301545,47.3669294991316,41.53538734674624,10.407518541723409,25.724230268362795
33,2022-07-29 23:56:17+00:00,69.21356610954423,51.00433504099789,48.10077981488301,7.329811489957615,
34,2022-08-02 00:06:12+00:00,77.76810264797656,60.86976383695516,57.95033849554849,16.09810818971138,29.044875233616516
35,2022-08-07 00:06:19+00:00,88.11299853969699,78.48275032579595,75.36502599416163,42.72503196329541,52.85726650270969
36,2022-08-17 00:06:20+00:00,79.07117715179035,65.06335985609425,62.693230696645095,21.82000591878704,33.27993791363133
37,2022-08-22 00:06:09+00:00,97.2815473273798,80.31907912752392,71.23539888396321,39.334799733109875,46.46934071625622
38,2022-08-23 23:56:25+00:00,90.39600278365728,73.35354073283185,68.25108678312725,32.24873431037685,46.43118596926983
39,2022-09-07 23:56:14+00:00,90.83317441854533,74.9487700585969,71.5349909154482,23.169273238958933,40.15459944947568
40,2022-09-11 00:06:10+00:00,83.48295363573179,58.981630101044296,54.95858820785088,9.388442812822856,24.400462063692252
41,2022-09-16 00:06:17+00:00,81.18884728092435,59.26227508775716,63.1953245213985,14.759937543508741,31.844784564538713
42,2022-10-02 23:56:19+00:00,97.73745052228975,69.56397284199707,71.1102551804357,19.481521881381468,46.47155529500034
43,2022-10-27 23:56:11+00:00,80.42088400542227,55.88831353428772,54.78331056615362,7.346933160889359,14.397561650602638
44,2022-11-01 23:56:16+00:00,100.05041828512496,71.92373247040476,81.52842087686027,35.94470771298714,49.82192361240831
45,2022-11-05 00:06:12+00:00,102.98363568501479,79.61686887681643,90.32411060312215,39.50232176745929,60.63760777651195
46,2022-11-06 23:56:10+00:00,101.29773418094881,74.34128660199197,78.9687477348917,31.330080835580272,49.39156501928254
47,2022-11-10 00:06:07+00:00,82.56628462430751,60.51588221001459,68.476192079535,12.191136864169426,27.91211828070734
48,2022-11-11 23:56:15+00:00,86.18716958441604,54.26142768411969,67.20235262877166,18.852111616541432,30.731353718942785
49,2022-11-16 23:56:12+00:00,91.97346318790852,69.9648937869719,81.06395344157525,34.33903238305152,49.18178588866089
50,2022-11-20 00:06:07+00:00,100.52004018052536,79.20889337705707,80.28799354410549,40.06691658080235,55.85234692523251
51,2022-11-21 23:56:12+00:00,88.66619688783922,77.73140794134957,82.06005861382101,40.9870626690799,58.86033451151191
52,2022-12-01 23:56:12+00:00,95.0003492449425,78.43609791887344,76.01879980798145,34.06216039823953,54.15131263330185
53,2022-12-05 00:06:08+00:00,98.14129261322391,84.090197627119,85.49621904016553,32.73081495763257,47.59161309453073
54,2022-12-31 23:56:11+00:00,103.47629283847989,94.3394237811106,87.52928666607176,43.1407662179852,61.367857045697576
